,de,ch_dialect
28979,"So wird beispielsweise auf den richtigen Mähzeitpunkt geachtet und nur dann gemäht, wenn die Bienen nicht fliegen.","So luegt mer aso uf de rechtigi Mäihziitponkt ond mäiht nor denne, wenn d Biinli ned flüged."
5898,Alten Traditionen zufolge bestand dieses Khanat aus einem rechten und einem linken Flügel.,Alta Traditiona zur Folg het das Khanat au einem rechta und einem Linka Flügel bestanda.
6563,Die Kinder bereuen daraufhin ihr Verhalten.,D Kinder bereuen uf das hii ihres Verhalta.
5816,Das Werk lässt sich in die Kategorie Seinen einordnen.,Das Werk loht sich ind Kategorie Seinen iiordna.
12756,Bekannt geworden ist er durch seine Interviews während der verfassungsgebenden Versammlung vor fünf Jahren.,Bekannt worda isch er dur sini Interviews während dr verfassigsgebenda Versammlig vor füf Johr.
11731,Ein grosser Teil dieser Instrumente wurde sogar erst in den letzten Jahren eingeführt.,An grossa Teil vu denna Instrument isch sogar in da letsvhta Johr igfüahrt worda.
25633,"Diese wird auch im Laden verkauft, jedoch mit einem entsprechenden Hinweis, denn Rohmilch kann krankheitserregende Keime enthalten.","De werd au e Käde verchauft, jedoch meteme entsprächende Hewis, will Rohmelch cha chrankheitserregendi Keime enthalte."
5122,Fragen Sie meinetwegen die Auskunft.,Fraget minetwägä d Uskunft.
2241,Noch nie hat ihn jemand so laut angeschrien.,No nie het ihn öper so luut aagschraue.
29222,"Zudem kooperieren Fachreferenten für alle Fächer mit den Lehrstühlen, Instituten, Fakultäten und Fachbibliotheken.","Dezue hend d Fachreferänte för alli Fächer met de Lehrstüehl, Institut, Fakultäte ond Fachbibliotheke kooperiert."
19714,"Wirtschaftsdünger tierischer Herkunft sind vor allem Gülle, Jauche und Mist.","Wirtschaftsdünger mit tierischer Härkunft sind vorallem Gülle, Jauche und Mist."
10411,Ich erzähl dir mal etwas über Freundschaften im Söldnergeschäft.,I verzell diar mol öpis über Fründschafta im Söldnergschäft.
16859,Die Zuschauer haben jetzt noch einmal die Wahl.,D Zueschauer hend jetzt nomal d Wahl.
14889,Sie haben sich innerhalb der letzten 20 Jahre verdoppelt.,Sie hend sich innerhalb vu da letschta 20 Johr verdopplet.
30356,"Im Falle des Weissensteins genüge es auch nicht, dass der Berg in der Region Solothurn allen ein Begriff sei.","Im Fall vom Wissestei längis au ned, wenn de Bärg nor i de Region Solothorn e Begreff seg."
5540,"Im Norden bleibt es winterlich mit minus zwei bis drei Grad als Maximum, wärmer wird es im Tessin mit rund acht Grad.","Im Norda bliibts winterlich mit minus zwei bis drei Grad als Maximum, wärmer wirds im Tessin mit rund acht Grad."
13067,"Das war ein schwieriger Moment, als der Krebs diagnostiziert wurde.","Das isch an schwieriga Moment gsi, wo dr Krebs diagnostiziart worda isch."
29722,"Einerseits ist es schwierig für eine Bewegung, sich längerfristig zu organisieren.","Einersiits esches schwerig för en Bewegig, sech längerfrestig z organisiere."
14444,"Das ist eine positive Nachricht, die im Tessin wenig Gehör findet.","Das isch a positivi Nochricht, wo im Tessin wenig Ghör findet."
4861,Der Jazzcampus in Basel oder das Toni-Areal in Zürich strahlen Prestige aus.,Dr Jazzcampus in Basu oder s Toni-Areau in Züri strahlä Prestige us.
29502,"Wir improvisierten Abend für Abend, mit Computern, aber auch mit Gitarre und Perkussion.","Mer improvisiered Obig för Obig, met Computer, aber au met Gitarre ond Perkussion."
9027,Der Teichmolch gilt als sehr anpassungsfähiger Lurch und als Kulturfolger.,Dr Teichmolch gilt als sehr apassigsfähiga Lurch und als Kulturfolger.
26702,Als Beispiel nennt er die Gesichtserkennung zur Kunden-Identifikation.,Als Bispel nennt er d'Gsechtserkennig als Chonde-Identifikation.
23460,"Dies, obwohl Château-d'Oex nur ein kleines, vor allem bei Familien beliebtes Skigebiet war.","Das, obwohl Chateaux-s'Oex nur e kleins, vor allem bi Familie beliebts Skigebiet gseh isch."
1254,"Ein Kind braucht zum Aufwachsen Liebe und stabile Bezugspersonen, das hat nichts mit der sexuellen Orientierung zu tun.","Es chind brucht zum ufwachse Liebi und stabili Bezugspersone, da het nüt mit de sexuelle Orientierig ztue."
8020,Einer von ihnen wurde von seinen Kameraden nach vorne geschubst.,Eina vu ihna isch vu sinem Kamerad füra gschupft worda.
350,"Um Bertie eifersüchtig zu machen, lässt sich Uschi auf das Angebot ein.","Um dBertie iifosüchtig zmache, loht sich dUschi ufs Agebot ii."
29983,Ab heute Mittag örtlich Gewitter.,Ab höt Mettag gwettereds do ond döt.
15704,"Wenn ich durch den Bahnhof gehe, muss ich mir mindestens zehn Plakate anschauen, die für exotische Ferienziele werben.","Wenn i dur da Bahnhof gohn, muass i miar mindestens zehn Plakat ahluaga, wo für exotischi Feriaziel werben."
11710,"Es gibt eine riesige Bewegung, auch von Frauen, die die Kinder selber erziehen wollen.","Es git a riesigi Bewegig, au vu Fraua, wo d Kinder selber erzücha wennd."
14261,"Ein neues Buch zeigt, wie sich unsere gehobene Sprache verändert.","As neus Buach ziegt, wia sich üssi ghobeni Sproch veränderet."
25282,"Die Kunden schwatzten, und Marie hatte ein scharfes Gehör.","D Kunde hän plauderet, und d Marie het ä gueds Ghör."
25064,"Ihm wird fälschlicherweise nachgesagt, ein Raubritter gewesen zu sein.","Ihm wird fälschlicherwiis nochegseit, ä Raubritter gseh z sii."
3519,"Noch vor 10 Jahren rümpften die Winzer im Baselbiet die Nase, wenn man vom biologischen Weinbau sprach.","No vor 10 Jahr hei d Winzer im Basubiet d Nasä grümpft, wemä vo biologischem Wiibou gredt het."
7626,"Ganz egal ob im Garten, auf dem Flachdach oder vor dem Fenster.","Ganz egal ob im Garta, uffam Flachdach oder vor am Fenster."
29209,Daneben belegte sie den fünften Platz im Riesenslalom und den sechsten Platz im Super-G.,Dezue hed sie de füfti platz em Riiseslalom ond de sächsti Platz em Super-G gmacht.
22436,Beziehungsweise du hast neben ihm geparkt.,Beziehigswiis du hesch näbu ihm giparkt.
22607,"Das Bild, das ich Ihnen gerade skizziert habe, ist häßlicher als das Ihre.","Das Bild, wan ich Ew gat skizziert ha, isch hässlicher wa Ewers."
23441,45 Prozent der Feldvögel in der Schweiz sind bedroht.,45 Prozänt vo dä Fäldvögel in dr Schwiiz sind bedroht.
8706,Nach dem Zweiten Weltkrieg erlernte er in der Anstalt die Korbflechterei.,Noch am Zweita Weltkriag het er in dr Astalt Korbflechterei erlernt.
15387,"Die Folgen für die Schweiz wären noch mehr Zuwanderung, Lohndruck und nicht mehr finanzierbare Sozialleistungen.","D Folga für d Schwiz wären no meh Zuawnaderig, Lohndruck und num finanzierbari Sozialleistiga."
19008,Der Verkehr steht still.,De Vercher staht still.
15493,9'535 tabakbedingte Todesfälle pro Jahr Im Jahr 2015 verursachte der Tabakkonsum in der Schweiz insgesamt 9'535 Todesfälle.,9'535 Todesfäll pro Johr im Johr 2015 hent dr Tabakkonsum in dr Schwiz verursacht.
14199,"Wie gestaltet man sie um, damit Menschen auch künftig gerne in den Städten wohnen und arbeiten?","Wia gstaltet ma sie um, damit Menscha au in Zuakunft gern in da Städt wohnen und schaffen?"
18445,Tom selbst saß jetzt am Feuer und briet ein Kaninchen.,De Tom sälber isch am Für gsässe und hät es Häsli brötled.
13883,"2013 war das letzte Stadtfest, jetzt findet es wieder statt.","2013 isch ds letschta Stadtfest gsi, jetzt findets wieder statt."
11374,Der Bär wurde schon in frühesten Kulturen als Mittler zwischen Himmel und Erde verehrt.,Dr Bär isch scho in früahsta Kultura als Mittler zwüschet Himmel und Erda verehrt worda.
13682,Grenadierfische folgen und Millionen von winzigen Schalentieren.,Grenadierfisch folgen und Milliona vu winziga Schalatiar.
18611,Ich lasse mir den Schinken immer gleich beim Fleischer schneiden.,Ich lahn mer de Schinke immer gad bim Metzger schnide.
138,Neben der heute üblichen Bezeichnung als «Eichelhäher» sind zahlreiche andere Trivialnamen belegt.,"Nebed de hüt übliche Bezeichnig als ""Eichelhäher"" sind zahlrichi anderi Trivialname beleit."
5367,"Sie tanzt mit jedem, der dafür bezahlt.",Si tanzt mit jedem wo drfür zaut.
8189,Natürlich versteht er es nicht.,Natürlich verstoht ers nit.
16604,"Der Hallwilersee ist einer der wenigen Gewässer in der Schweiz, in dem die Europäische Sumpfschildkröte noch lebt.","De Hallwilersee isch eine vode wenige Gwässer ide Schwiz, wo di Europäisch Sumpfschildchrot no läbt."
17275,"Ich wurde von ihnen geschlagen und drangsaliert, gelobt und belohnt.","Ich bin vo ihne ghaue und gfoltered, globt und belohnt worde."
4967,Ruf doch nicht immer gleich aus das geht mir schon sehr auf die Nerven.,"Rüef doch nid immer grad us, das geitmer scho sehr ufd Närvä."
5441,"Ich lege mich hin, sehe fern und stopfe mich voll.","I ligä härä, luege Fernseh und schtopfä mi vou."
14412,"Direkt betroffen vom Strukturwandel seien Schweizer Zulieferer, die Teile für Verbrennungsmotoren lieferten.","Direkt betroffa vum Strukturwandel sigen Schwizer Zualieferer, wo Teili für Verbrennigsmotora lieferen."
20753,Für die Entsorgung gibt es professionell geführte Kompostieranlagen.,Fer d'Entsorgig gits professionell gfiehrti Komposchtierahlage.
10064,Es wurde 1983 von George Lucas gegründet und hat seinen Sitz in San Francisco.,Es isch 1983 vum George Lucas gründet worda und het sin Sitz in San Francisco.
1582,Auch Trumps Tochter Ivanka und Schwiegersohn Jared Kushner sollen in die Schweizer Berge reisen.,Au em Trump sini Tocher Ivanka und Schwiegersohn Jared Kushner sötted id Schwiizer Berge reise.
27275,Die Schneeflocken wachsen aus sechseckigen Eiskristallen.,D'Schneeflocke wachse os sächsegige Iskristall.
23824,"Nullpunkt beginnt am Ende der Geschichte, Punkte zu bekommen.","Dr Nullpunkt foht am Ändi vo dr Gschicht ah, Pünkt z becho."
24039,Sie war in Teheran gestartet und peilte Kiew an.,Si sin in Teheran gstartet und hän Kiew ahpeilt.
7715,Ich wringe eure Kleidungsstücke nicht aus.,I wringa euri Kleiderstuck nit uus.
22671,Du hast ihn nicht getroffen.,Dü hesch nu nit gitroffu.
10308,1992 komponierte er für die Zeichentrickserie Als die Tiere den Wald verließen die Abspannmusik mit dem Titel Gib niemals auf.,"1992 het er für d Zeichatrickserie Als die Tiere den Wald verliessen, d Abspannmusik mitel Titel Gib niemals auf komponiart."
1746,"Ich will nicht, daß du dich noch weiter mit deiner Mutter zankst.","I wott nöd, dass du di no wiiter mit dinre Muetter striitisch."
5137,"Ich necke dich doch nur, Dummerchen.","I föpplä di doch numä, Dummerchen."
25220,"Genauso habe ich geschaut, als ich den ersten sah.","Genau so ha ich gluegt, wo ich dä ersti gseh ha."
11816,"Müller sagt, mit der Auslagerung der Kantonsaufgabe bleibe die Verantwortung bestehen.","Müller seit, mit dr Uslagerig vur Kantonsufgab bliebi d Verantwortig bestoh."
16986,Im Frühjahr wächst am Hang des Berges Bärlauch.,Im Früelig wachst am Hang vom Berg Bärlauch.
28815,So nannte jeder das Mädchen «Rotkäppchen».,"So hend em Meitli alli ""Rotchäppli"" gseit."
3343,Wir haben viel mit vertraulichen Dokumenten zu tun.,Mir hei viu mit vertroulechä Dokumänt z tüe.
17145,Sie begleiten die Gefängnisinsassen gemeinsam.,Si begleited d Gfängnisinsasse zäme.
21358,Er will Ungarn öffnen für Geschäfte mit Russland und China.,Är will Ungarn öffnu fer Gschäfti mit Russland und China.
14184,"Es geht um keramikartige Materialien, die es in der Natur nicht gibt.","Es goht um keramikartigi Materialia, wos in dr Natur nit git."
30822,"Meine Frau hat sie gestrickt, und ich hänge an den Dingern.",Mini Frau hed si glesmet ond ech hange a dene Denger.
5430,"Ich hoffe, dass ich nicht meine Zeit mit dir verschwende.","I hoffe, dassi nid mini Zit mit dir vergüdä."
19900,"Altpapier in Papiersäcke stecken ist zwar praktisch, aber falsch.",Altpapier i Papierseck inezstecke isch zwar praktisch aber falsch.
1196,Der Sommer bleibt heiss.,De Summer bliibt heiss.
21820,Leichter Regen­schauer und windig.,Liechte Rägufall und windig.
13359,"Dort findet sich nun etwa ein Teich, an dem die Fledermäuse Insekten jagen und aus dem sie trinken können.","Döt findet sich jetzt en Teich, an wellem d Fledermüüs Insekta jagen und us dem sie trinka könn."
26903,Eine Niederlage der AKP im Rennen um das Bürgermeisteramt könnte die Machtbasis des Präsidenten schwächen.,E Nederlag fode AKP em Rönne oms Börgermeischteramt chönnti d'Machtbasis fom Präsidänte schwäche.
6104,Sofort sah er das Rotkäppchen.,Sofort het er ds Rotkäppli gseh.
26173,Er hat sich zu einem eindrücklichen Urwald vor den Toren der Stadt Zürich entwickelt.,Er het sech zomene idröckleche Urwald for de Tore fode Stadt Zöri entwecklet.
28005,"So laut, wie du schnarchst, bleibt mir nichts anderes übrig, erwiderte sie schmunzelnd.","So lut wie du schnarchlisch bliebt mer nüt anders öbrig, het sie schmonzlend erwederet."
14134,"Der Zürcher erreichte mit Chaplin als einer von 11 Reitern das Stechen, in dem er wie 4 weitere Konkurrenten erneut ohne Fehler blieb.","Dr Zürcher het mit Chaplin als eia vu 11 Ritter ds Stecha erreicht, in wellem er wia 4 witeri Konkurrenta erneut ohni Fehler blieba sind."
7513,"Die SSO-Hygienekommission kläre nun ab, wie die Wasserqualität in den Zahnarztstühlen verbessert werden könnte.","D SSO-Hygienekommission kläri jetzt ab, wia d Wasserqualität in da Zahnarztstüahl verbesseret werda könnt."
17073,Das schöne Wetter haben wir dem Südföhn zu verdanken.,Das schöne Wätter hämmer am Südföhn zverdanke.
10930,Das lange hellbraune Haar war ihm von der Anstrengung über das Gesicht herabgefallen.,Ds langa hellbruna Hoor isch ihm vu dr Astrengig über ds Gsicht abakeit.
21212,Und sommerlich is es eigentlich nur noch in Solothurn und Basel Land.,Und summerlich ischs eigentlich nur nu zSolothuru und im Basel Land.
9936,Die ortsübliche Miete ist in Anlehnung an die Jahresrohmiete für entsprechende Räumlichkeiten anzusetzen.,Dia ortsüblich Miati isch in Alehnig an d Johresmiati für entsprechendi Rümlichkeita azsetza.
6727,"Wo immer Polanski mit seinem neusten Werk präsent ist, kommt es zu Kontroversen.","Wo immer dr Polanski mit sinem neusta Werkt präsent isch, kunnts zu kontroversa."
4460,"Sie zankten sich den ganzen Weg über, den der Jüngling eingeschlagen hatte.","Si hei dr ganz Wäg zangget, wo dr Burscht het iigschlagä."
10214,Einige First Ladys griffen auch aktiv in die Politik ihrer Länder ein.,Einigi First Ladys griffen au aktiv in d Politik vu ihrna Länder ii.
30655,Von diesem Moment an rannte ich.,Ab dem Momänt ben ech gsecklet.
8435,Wir waren total erstaunt über lena',Miar sind total erstuunt über d Lena gsi.
4888,Eine Beschwerde beim bernischen Obergericht war nötig.,ä Beschwärdä bim bärnischä Obergricht isch nötig gsi.
5187,Die ganze Zeit rennst du herum und hilfst anderen Leuten,Die ganzi Zit sekklisch umä und hiufsch angerä Lüt.
26135,Allerdings sind die Röhren-Durchmesser für viele Bienenarten zu gross.,Allerdengs send die Röhredorchmässer för vell Bienearte z'gross.
11399,Der TGV etablierte sich aber bald auch bei einem breiteren Publikum.,Dr TGV het sich aber bald au binem breitera Publikum etabliart.
3063,"Depp war frustriert, als er erfuhr, dass viele seiner wenigen Szenen herausgeschnitten wurden.","Depp isch fruschtriert gsi, woner het erfahrä, dass vili vo sinä wenigä Szenä si usägschnittä wordä."
26657,Die letzen Tage waren recht kühl.,Die letschte Täg send sehr chüel gsi.
9218,"Das Gericht empfahl, den Mitgliedern einzeln den Prozess zu machen, da es häufige personelle Fluktuationen in Generalstab und OKW gab.","Ds Gricht het empfohla, da Mitglieder einzeln dr Prozess z macha, wills hüfigi personelli Fluktuationa in Generalbstab und OKW geh het."
7217,Du findest den Koffer dort unten.,Du findisch dr Koffer döt dunna.
8583,"Befürworter meinen, dass durch die Verwendung neuer Technologien bisherige Hemmnisse entfernt werden könnten.","Befürworter meinen, dass dur d Verwendig vu neua Technologia bisherigi Hemmniss entfernt werda könnten."
4731,Bei einem teueren Anbieter wie der Swisscom wäre das fatal.,Bimene tüürerä Aabieter wi dr Swisscom wär das fatal.
12457,"Die WTO ist kein selbstständiges Organ, sondern die Zusammenführung von 164 Mitgliedsstaaten.","D WTO isch kei selbständigs Organ, sondern d Zemmafüahrig vu 164 Mitgliedstaata."
18331,Sam rieb sich die Nase.,De Sam hät sich d Nase gribe.
24036,"Die globale LGBT-Community freut's: Denn die Metropole gilt als «Gay Capital», als liberale Insel im Nahen Osten.","Die lokali LGBT-Community freut's: Denn d Metropole zellt als ""Gay Capital"", als liberali Insle im Nohe Oste."
25091,Heute habe ich in der Schule schon wieder gar nichts verstanden.,Hüt hani in dr Schuel scho wieder gar nüd verstande.
30320,Eine tolle Geschichte!,E tolli Gschecht!
9805,"Einige Arten haben einen Kehlsack, der ihnen als Resonanzkörper beim Ausstoßen ihrer lauten Schreie dient.","Einigi Arta hen an Kehlsack, wo ihna als Resonanzkörper bim Usstossa vu ihrna Luuta Schrei diant."
14501,Führt Reisen nicht auch zu mehr Toleranz für fremde Kulturen?,Füahrt Reisa nit au zu meh Toleranz für fremdi Kultura.
14438,So können qualitativ mangelhafte Lebern gerettet und dann transplantiert werden.,So könn qualitativ mangelhafti Lebera grettet und denn transplantiart werda.
